,MTH,DEALER_ID,LISTING_AD_ID,LISTING_NEW_USED,LISTING_MANUFACTURER,LISTING_TYPE,DMA_NAME,REALM_NAME,CUSTOMER_TYPE,INVENTORY,SRPS,VDPS,WEBREFERRALS,MAPS,EMAIL
171325,1,2980528,119744068,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
135550,1,2886784,120977632,N,CHEVROLET,STANDARD,atlanta,Commercial Truck,DEALER,1,44,2,0,0,0
98819,1,2937876,121943303,U,KENWORTH,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
74987,1,2964040,122512970,N,HINO,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
128152,1,2943150,122608726,U,FREIGHTLINER,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
151373,1,2978284,122685769,U,CATERPILLAR,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
123099,1,2978284,122732749,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
140643,1,3054868,122757590,N,WESTERN STAR,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
186327,1,748340,122773980,N,ISUZU,STANDARD,atlanta,Commercial Truck,DEALER,1,43,0,0,0,0
5477,1,2998344,5000006068,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
174329,1,2891146,5000201166,U,FORD,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
183510,1,2819170,5000356928,N,FORD,STANDARD,atlanta,Commercial Truck,DEALER,1,13,0,0,0,0
132451,1,2886784,5000689269,N,CHEVROLET,STANDARD,atlanta,Commercial Truck,DEALER,1,322,5,0,0,0
195685,1,738050,5000796222,U,UTILITY,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
175273,1,2997710,5000843263,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,470,0,0,0,0
125734,1,3054868,5000880710,N,FREIGHTLINER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
203284,1,3054868,5000880714,N,FREIGHTLINER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
73722,1,2997308,5000897545,N,FORD,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
194363,1,738050,5000904322,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
204589,1,2886784,5000971793,N,CHEVROLET,STANDARD,atlanta,Commercial Truck,DEALER,1,56,0,0,0,0
197580,1,2997710,5000997355,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,11,0,0,0,0
39790,1,2997710,5000997356,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,28,0,0,0,0
201319,1,2999436,5001191406,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,44,1,0,0,0
144579,1,2978284,5001236294,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
91003,1,2998344,5001254509,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
75673,4,2998344,5001254509,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
16090,3,2998344,5001254509,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
182678,2,2998344,5001254509,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
5874,1,0,5001263234,U,FREIGHTLINER,PREMIUM AND FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,2736,152,0,0,1
81686,2,0,5001263234,U,FREIGHTLINER,PREMIUM AND FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,3047,185,0,0,0
198229,1,2970038,5001287792,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
80888,1,2970038,5001288060,N,RAM,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
177611,1,738050,5001326658,U,GMC,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
